word,frequency,pos,sentiment,stopword,headword,attribute
상,4213,Noun,,,,
배,4189,Noun,,,,
부문,4189,Noun,,,,
큰,4181,Verb,,,,
가치,4180,Noun,,,,
가운데,4119,Noun,,,,
분,4107,Noun,,,,
전환,4098,Noun,,,,
사,4096,Noun,,,,
IPO,4080,Alpha,,,,
미래에셋,4066,Noun,,,,
전날,4055,Noun,,,,
관계자,4047,Noun,,,,
상품,4037,Noun,,,,
급락,4029,Noun,,,,
추가,4005,Noun,,,,
발생,3999,Noun,,,,
중이,3997,Noun,,,,
위원회,3989,Noun,,,,
수익률,3987,Noun,,,,
하나,3982,Noun,,,,
인수,3955,Noun,,,,
유지,3921,Noun,,,,
발행,3900,Noun,,,,
▲,3884,Foreign,,,,
이데일리,3881,Noun,,,,
증권사,3870,Noun,,,,
감소,3866,Noun,,,,
공개,3853,Noun,,,,
자산운용,3809,Noun,,,,
버스,3802,Noun,,,,
부터,3786,Foreign,,,,
개월,3779,Noun,,,,
하기,3775,Verb,,,,
돼,3775,Verb,,,,
회장,3770,Noun,,,,
최고,3748,Noun,,,,
때,3740,Noun,,,,
환율,3727,Noun,,,,
평균,3713,Noun,,,,
해당,3695,Noun,,,,
임,3686,Noun,,,,
제도,3674,Noun,,,,
오는,3658,Verb,,,,
강세,3647,Noun,,,,
뉴시스,3634,Noun,,,,
연합뉴스,3631,Noun,,,,
금액,3626,Noun,,,,
제품,3609,Noun,,,,
준비,3596,Noun,,,,
조정,3595,Noun,,,,
명,3573,Noun,,,,
또,3561,Noun,,,,
이는,3560,Verb,,,,
있다는,3541,Adjective,,,,
직원,3531,Noun,,,,
세계,3530,Noun,,,,
기반,3524,Noun,,,,
해야,3519,Verb,,,,
의견,3497,Noun,,,,
결과,3496,Noun,,,,
중심,3494,Noun,,,,
센터,3479,Noun,,,,
의,3475,Foreign,,,,
확보,3461,Noun,,,,
반영,3460,Noun,,,,
기대,3432,Noun,,,,
비트코인,3404,Noun,,,,
횡령,3342,Noun,,,,
가상,3327,Noun,,,,
비중,3326,Noun,,,,
보다,3318,Verb,,,,
시스템,3313,Noun,,,,
모두,3308,Noun,,,,
화학,3276,Noun,,,,
유가,3262,Noun,,,,
판단,3247,Noun,,,,
심사,3245,Noun,,,,
디지털,3242,Noun,,,,
예측,3241,Noun,,,,
출시,3236,Noun,,,,
내,3226,Noun,,,,
오후,3221,Noun,,,,
후보,3202,Noun,,,,
현지,3201,Noun,,,,
연방,3175,Noun,,,,
다만,3160,Noun,,,,
전체,3155,Noun,,,,
다양한,3119,Adjective,,,,
물량,3116,Noun,,,,
경영,3112,Noun,,,,
업종,3112,Noun,,,,
P,3101,Alpha,,,,
체결,3099,Noun,,,,
나스닥,3094,Noun,,,,
마쳤다,3090,Verb,,,,
채권,3068,Noun,,,,
일반,3046,Noun,,,,
만큼,3020,Noun,,,,
건,3019,Noun,,,,
전일,3019,Noun,,,,
금,3010,Noun,,,,
참여,3007,Noun,,,,
반등,2998,Noun,,,,
자회사,2968,Noun,,,,
엔솔,2957,Noun,,,,
급등,2955,Noun,,,,
셀트리온,2955,Noun,,,,
했고,2950,Verb,,,,
향후,2947,Noun,,,,
모주,2947,Noun,,,,
정책,2930,Noun,,,,
추진,2921,Noun,,,,
부담,2907,Noun,,,,
하지,2898,Verb,,,,
현대,2896,Noun,,,,
지원,2887,Noun,,,,
회,2857,Noun,,,,
건설,2817,Noun,,,,
배정,2811,Noun,,,,
역시,2806,Noun,,,,
상위,2793,Noun,,,,
배당,2775,Noun,,,,
전기차,2772,Noun,,,,
환경,2770,Noun,,,,
스,2768,Noun,,,,
배터리,2758,Noun,,,,
우리,2755,Noun,,,,
NFT,2747,Alpha,,,,
보인다,2745,Verb,,,,
효과,2729,Noun,,,,
연금,2726,Noun,,,,
미,2713,Adjective,,,,
반면,2708,Noun,,,,
주목,2708,Noun,,,,
면서,2703,Noun,,,,
현대차,2699,Noun,,,,
정부,2690,Noun,,,,
안정,2678,Noun,,,,
률,2672,Noun,,,,
차,2672,Noun,,,,
치료,2670,Noun,,,,
S,2668,Alpha,,,,
정보,2659,Noun,,,,
업무,2650,Noun,,,,
율,2644,Noun,,,,
바,2643,Noun,,,,
집계,2639,Noun,,,,
있다고,2614,Adjective,,,,
장기,2614,Noun,,,,
있어,2610,Adjective,,,,
추정,2600,Noun,,,,
확인,2599,Noun,,,,
연속,2594,Noun,,,,
약세,2584,Noun,,,,
적극,2578,Noun,,,,
화폐,2570,Noun,,,,
입니다,2565,Adjective,,,,
출발,2564,Noun,,,,
크게,2561,Noun,,,,
운영,2556,Noun,,,,
과,2552,Noun,,,,
한편,2544,Noun,,,,
도,2541,Noun,,,,
수급,2541,Noun,,,,
역대,2539,Noun,,,,
활용,2539,Noun,,,,
소재,2536,Noun,,,,
사상,2531,Noun,,,,
적용,2518,Noun,,,,
NH,2516,Alpha,,,,
FOMC,2512,Alpha,,,,
회복,2511,Noun,,,,
분할,2501,Noun,,,,
법인,2500,Noun,,,,
젠,2498,Noun,,,,
증거,2497,Noun,,,,
인플레이션,2494,Noun,,,,
제시,2487,Noun,,,,
본격,2477,Noun,,,,
곳,2472,Noun,,,,
관심,2471,Noun,,,,
뒤,2470,Noun,,,,
마켓,2455,Noun,,,,
이를,2455,Verb,,,,
전문,2433,Noun,,,,
용,2432,Noun,,,,
기준금리,2430,Noun,,,,
데,2423,Noun,,,,
첫,2422,Noun,,,,
대출,2408,Noun,,,,
재,2392,Noun,,,,
테크,2390,Noun,,,,
매매,2389,Noun,,,,
성과,2386,Noun,,,,
순이익,2386,Noun,,,,
강조,2379,Noun,,,,
비,2379,Noun,,,,
매각,2378,Noun,,,,
보이,2364,Noun,,,,
심리,2355,Noun,,,,
페이,2339,Noun,,,,
