date,day,word,score,expect,change,service
20220330,수,현대차,5,up,up,⭕
20220330,수,한화,2,up,up,⭕
20220330,수,베셀,2,up,up,⭕
20220330,수,카카오,1,up,up,⭕
20220330,수,두산,1,up,stay,❌
20220330,수,쌍용차,0,stay,stay,⭕
20220330,수,배럴,0,stay,up,❌
20220330,수,신흥,0,stay,down,❌
20220330,수,덴티움,0,stay,down,❌
20220330,수,안랩,-5,down,down,⭕
