date,day,word,change
20220325-20220327,"금,토,일",삼성전자,stay
20220325-20220327,"금,토,일",NAVER,down
20220325-20220327,"금,토,일",카카오,stay
20220325-20220327,"금,토,일",LG에너지솔루션,up
20220325-20220327,"금,토,일",SK하이닉스,down
20220325-20220327,"금,토,일",삼성바이오로직스,down
20220325-20220327,"금,토,일",삼성SDI,up
20220325-20220327,"금,토,일",현대차,down
20220325-20220327,"금,토,일",LG화학,down
20220325-20220327,"금,토,일",기아,down
