date,day,word,count,stock
,,삼성,49,한화
,,에디슨,36,쌍용차
,,쌍용차,35,쌍용차
,,컬리,21,디어유
,,토스,19,세틀뱅크
,,비트코인,19,배럴
,,칼,18,천랩
,,미래에셋,16,OCI
,,한진,15,한진
,,재선,14,RF머트리얼즈
